pid,group,race_ethn,gender,age,geq,ibqh,tsc
343,1,5,2,19,2.15,11,15
344,1,3,1,19,1.6,0,2
345,1,2,1,21,1.05,0,2
346,1,5,1,20,3.05,6,18
347,1,5,1,21,3.15,12,21
348,1,5,1,18,2.85,16,16
349,1,5,1,19,1.45,4,18
350,1,5,1,22,1.8,12,49
351,1,6,5,23,1.2,1.05943431952317,10
352,1,3,2,22,2.35,9,31.152140406776134
353,1,5,2,20,2.3,22,16
354,1,5,1,23,2.4671549649547813,18,23
355,1,5,1,19,3,0,0
356,1,5,1,18,2.25,1,12
357,1,5,1,21,2.7,18,39
358,1,2,2,20,2.15,0,17
359,1,5,1,19,2.15,20,30
360,1,5,1,18,1.75,15,32
361,1,5,2,20,3.2,19,16
362,1,6,1,20,2.25,13,22
363,1,5,1,18,2.9,5,14
364,1,5,1,19,3.25,16,23
365,1,5,2,21,2.4,6,17
366,1,5,2,20,1.8,3,4
367,1,5,1,18,3,11,37
368,1,2,1,20,3.6,29,89
369,1,5,2,21,1.85,5,25
370,1,5,1,18,2.75,21,72
371,1,2,1,21,2.15,0,0
372,1,5,2,19,1.35,1,14
373,1,5,1,18,2.15,10,4
374,1,5,1,18,2.35,31,35
375,1,2,1,21,3,20,4
376,1,5,2,18,1.6,0,16
377,1,6,1,21,2.35,16,20
378,1,5,2,19,1.55,2,9
379,1,5,1,18,1.15,1,3
380,1,1,1,18,4,1,33
381,1,5,1,19,2.15,10,21
382,1,5,1,18,3.75,29,31
383,1,5,1,19,2.95,13,28
384,1,2,1,20,1,18,50
385,1,2,1,19,4.45,21,67
386,1,5,2,20,2.2,15,4
387,1,5,1,20,2.6,17,5
388,1,4,1,18,1.7,1,29
389,1,6,2,23,2.55,7,20
390,1,5,2,20,1.7920084368622429,0,13
391,1,2,1,19,1.4,0,25
392,1,5,2,19,1,0,1
393,1,5,1,18,2.75,19,47.4332143403579
394,1,5,1,20,1.75,26,23
395,1,5,2,19,1,0,4
396,1,5,2,18,2.35,2,30
397,1,5,1,20,3.55,22,12
398,1,5,1,18,3.45,2,44.26227948581835
399,1,5,1,18,3.4,21,44
400,1,5,1,21,1.45,14,69
401,1,5,1,18,3,12,10
402,1,5,2,21,2.2,4,23
403,1,5,1,20,2.05,24,20
404,1,5,2,18,2,17,31
405,1,5,1,18,1.45,0,35
406,1,5,1,20,3.1,28,42
407,1,5,2,20,3,10,14
408,1,5,2,19,1.95,10,13
409,1,5,2,19,1.3,11,44
410,1,5,1,19,2.6,15,42
411,1,2,1,20,1.45,15,8
412,1,5,1,18,1.55,6,7
413,1,5,1,18,4.2,16,28
414,1,5,1,20,3,8,44
415,1,5,1,19,1,1,3
416,1,2,1,19,2.1,10,29
417,1,5,2,23,1.15,0,43.31655626710007
418,1,3,1,22,2.15,14,39
419,1,5,1,21,3.2,19,22
420,1,5,1,19,1.75,20,35
421,1,5,2,19,1.55,4,23
422,1,5,2,19,1.95,3,21
423,1,5,1,21,1.85,13,16
424,1,6,1,18,2.15,1,15
425,1,5,2,18,1.5,0,1
426,1,6,1,21,3.25,24.81465440354551,30
427,1,6,2,19,3.15,27,34
428,1,6,1,19,4.85,14,71
429,1,5,2,19,2.15,0,62
430,1,6,2,20,4.483755672493794,18,92
431,1,5,1,18,1.95,17,17
432,1,5,1,18,1.15,0,23
433,1,2,2,18,2.45,0,9
434,1,5,1,18,1.9,9,17
435,1,5,2,20,1.7,2,15
436,1,5,1,18,3.2,16,43
437,1,5,1,18,1.8,0,34
438,2,5,2,23,2.15,0,12
440,2,6,1,19,1.9,9,54
441,2,2,1,18,1.65,8,23
442,2,2,1,20,1,1,5
443,2,1,1,18,2.05,24,22
444,2,5,2,21,2.2,1,16.77400294078476
445,2,6,1,20,2.4,18,45
446,2,5,1,18,2.5,22,19
447,2,6,2,19,1.55,0,16
448,2,5,1,19,1.85,12,44
449,2,5,1,19,2.65,5,15
450,2,5,1,21,1.85,9,18
451,2,2,1,20,1.45,7,42.04243207527454
452,2,2,1,18,1.6,5,12
453,2,5,1,18,3,36,27
454,2,5,1,18,2.45,15,16
455,2,5,2,19,3.25,4,18
456,2,5,1,19,1.45,0,14.07452899545345
457,2,5,1,19,1.8,10,35
458,2,2,1,21,2.4,0,10
459,2,5,1,20,2.8,11,40
460,2,5,1,21,2.1227864181746225,8,23
461,2,2,1,18,1.25,3,19
462,2,5,1,18,1.95,5,24
463,2,5,1,18,4.2,12,46
464,2,5,2,23,2.35,15,19
465,2,5,2,20,2.4,6,2
466,2,6,2,19,3,11,13
467,2,2,2,18,2.1,9,9
468,2,5,1,22,2.75,13,43
469,2,5,1,18,2.6,17,33
470,2,5,1,19,3.85,0,26
471,2,5,1,19,1.95,12,22
472,2,5,2,20,2.6,11,9
473,2,5,1,20,1.85,2,18
474,2,5,2,19,1.65,11,11
475,2,5,1,20,2,4,26
476,2,5,1,19,1.35,2,13
477,2,6,1,19,1.1,3.300367399367282,36.24887815865446
478,2,5,2,20,1.75,1,13
479,2,5,2,21,1.75,2,23
480,2,5,1,19,1.5,3,7
481,2,5,2,18,1.65,3,16
482,2,5,1,19,1.65,12,15
483,2,5,1,19,3.3,21,51
484,2,5,1,19,3.05,22,71
485,2,5,2,19,1.6,12,27
486,2,5,1,18,4.45,27,75
487,2,6,2,20,2.5,5,47
488,2,2,1,18,1.9,0,33
489,2,5,1,20,1.6,0,0
490,2,5,1,19,2.25,10,83
491,2,3,1,20,2.75,11,20
492,2,5,2,19,3.5,12,18
493,2,5,1,18,1.75,15,38
494,2,5,1,18,3.3,4,16
495,2,5,1,19,1.25,0,17
496,2,5,1,18,1.9,2,22
497,2,4,2,19,2.223427395721753,7,52
498,2,5,1,23,3.05,24,40
499,2,5,2,20,2.3,2,18
500,2,5,1,19,2.55,2,34
501,2,5,1,20,3.55,32,35
502,2,4,1,18,1.2,4,13
503,2,2,2,19,2,0,22
504,2,5,1,21,3.3,21,29
505,2,5,1,19,2.6,32,46
506,2,6,2,23,2,11,7
507,2,6,2,19,1.75,12,34
508,2,5,1,18,1.6,0,8
509,2,5,1,20,3.15,18,61.2011122143477
510,2,5,1,18,2.75,5,31.35810340030586
511,2,3,2,20,1.2,9,10
512,2,5,2,18,2.6,0,21
513,2,5,2,19,2.1,9,16
514,2,2,1,18,1.85,10,32
515,2,2,1,18,4.95,4,18
516,2,5,2,18,2,6,11
517,2,5,1,21,3.1,28,36
518,2,5,1,18,2.4,13,20
519,2,5,1,18,1.25,1,10
520,2,5,1,18,3,5,45
521,2,5,1,18,2.9,3,41
522,2,5,1,18,4.15,19,59
523,2,6,2,19,1.8,8,24
524,2,5,1,19,3.6,16,53
525,2,2,1,20,1,5,10
526,2,6,2,18,1.65,3,0
527,2,6,1,18,2.2,11,53
528,2,6,1,19,1,0,21
529,2,5,1,19,3.75,13,28
530,2,6,1,18,1.8,11,11
531,2,5,2,20,1.85,7,30
532,2,5,1,20,3.015011483283611,24,40
533,2,1,2,19,2.5,12,32
534,2,5,1,21,2.75,6,32
535,2,5,2,19,1.6668043305636087,0,27
536,2,5,3,21,3.25,31,64
537,2,5,2,19,2.6,12,31
